priority,reason,vqa_id,image_id,split,qtype,llm_decision,human_decision,confidence,failure_flags,rationale_short
P0,human_llm_disagreement,620,image000122,test,allergen_restrictions,DROP,KEEP,high,pass_disagreement;unsupported_ingredient;weak_vqa_support;wrong_or_irrelevant_triples,"P1: Question matches the bún riêu cua image and allergen qtype; crab-based riêu makes C the only correct choice for crustacean sensitivity. | P2: Answer C is visually supported by riêu cua/cua as a crustacean allergen, but the triples rely on mắm tôm, which is not established in this image context. | P3: REVIEW vì đáp án C hợp lý dựa trên cua/riêu cua, nhưng triples_used lại dựa vào mắm tôm không được hỗ trợ và hai pass trước không thống nhất."
P0,human_llm_disagreement,1034,image001490,test,allergen_restrictions,DROP,KEEP,medium,ambiguous_choices;incomplete_triples_for_choices;pass_disagreement;possible_multiple_correct,"P1: Question matches the banh mi image and gluten is correct for the bread, but mayonnaise may imply egg, making choice B potentially correct too. | P2: The image and question focus on bánh mì bread; wheat flour is a typical bread ingredient and gluten is the relevant common allergen. | P3: Although gluten is well-supported by the bánh mì bread, mayonnaise is listed and may contain egg, so both D and B are plausible; route to REVIEW."
P0,human_llm_disagreement,1090,image001527,test,allergen_restrictions,DROP,KEEP,medium,ambiguous_choices;ambiguous_gold_answer;gold_answer_inaccurate;partial_triple_support;pass_disagreement;position_mismatch,"P1: Món góc dưới trái là khổ qua xào trứng, dị ứng hợp lý là trứng; đáp án C quá mơ hồ về thành phần và vị trí không phải ngay phía trên bát cơm. | P2: Triples correctly identify egg as an ingredient and allergen in the lower-left dish, supporting the VQA answer. | P3: Không nên KEEP vì hai pass bất đồng và đáp án C mơ hồ: allergen là trứng nhưng mô tả 'thành phần chính' và vị trí 'ngay phía trên bát cơm' đều không chắc chắn."
P0,human_llm_disagreement,1575,image001796,test,allergen_restrictions,DROP,KEEP,high,answer_support_invalid;gold_answer_incorrect;unsupported_triple;wrong_allergen_category;wrong_allergen_taxonomy,"P1: Món góc dưới bên trái là mực xào ớt chuông; mực là nhuyễn thể/cephalopod, không phải giáp xác, nên đáp án C không đúng cho dị ứng giáp xác. | P2: Món góc dưới trái có mực, nhưng mực không thuộc nhóm giáp xác, nên triple dị ứng chính bị sai. | P3: C sai vì mực không thuộc nhóm giáp xác; triple dị ứng chính không được hỗ trợ nên hàng này không nên được chấp nhận."
P0,human_llm_disagreement,3586,image000644,test,allergen_restrictions,DROP,KEEP,high,hallucinated_ingredient;irrelevant_to_choices;no_correct_choice;poor_answer_support;unsupported_triples;wrong_allergen_premise,"P1: The image shows the listed ingredients, but none of the answer choices clearly contains crustacean allergen; char siu is not a valid gold answer. | P2: Các triple dựa vào tôm, nhưng ảnh và lựa chọn không cho thấy tôm; vì vậy không hỗ trợ hợp lệ cho đáp án B. | P3: Reject: đáp án B không liên quan đến dị ứng giáp xác, còn triple về tôm không được ảnh hoặc lựa chọn hỗ trợ."
P0,human_llm_disagreement,5552,image001015,test,allergen_restrictions,DROP,KEEP,high,allergen_mismatch;answer_reachable_with_wrong_triples;choice_type_mismatch;no_correct_answer;unsupported_food_fact;wrong_allergen_taxonomy,"P1: Món phía trên trung tâm là súp lơ xào mực, nhưng mực không phải loài giáp xác; đáp án D cũng mô tả mơ hồ và không cùng kiểu với các lựa chọn còn lại. | P2: Món phía trên trung tâm đúng là súp lơ xào mực, nhưng mực không thuộc nhóm giáp xác nên triple dị ứng chính bị sai. | P3: DROP vì triple dị ứng chính sai: mực không phải loài giáp xác, nên câu hỏi dựa trên tiền đề allergen không đúng dù vị trí món ăn có thể nhận ra từ ảnh."
P0,human_llm_disagreement,11168,image000105,test,allergen_restrictions,DROP,KEEP,medium,answer_not_supported;answer_not_visually_supported;no_poultry_item;nonsensical_allergen;pass_disagreement;pathogen_as_allergen;question_medically_incoherent;relation_misuse;unsupported_triple,"P1: Question is medically/nutritionally incoherent: allergy to bacteria in poultry is not a valid allergen restriction, and no listed/visible dish is clearly poultry-based, so answer D is unsupported. | P2: Triples support choosing nem rán via egg/poultry risk, but Salmonella is mislabeled as an allergen. | P3: Không nên chấp nhận vì câu hỏi nhầm vi khuẩn Salmonella thành dị ứng, triples sai quan hệ, và hình ảnh không chứng minh nem rán có trứng/gia cầm."
P0,human_llm_disagreement,11358,image000405,test,allergen_restrictions,DROP,KEEP,medium,duplicate_choices;ingredient_type_mismatch;multiple_correct_answers;pass_disagreement;unsupported_food_fact,"P1: Question matches the image and the central dish likely contains egg, but choices A and D are identical, creating multiple correct answers. | P2: Các triples hỗ trợ đúng dị ứng trứng, nhưng loại trứng trong món trung tâm nên là trứng cút/trứng nói chung thay vì trứng vịt. | P3: Reject because A and D are identical correct choices, prior passes disagree, and triples_used claim duck egg while the row/image description indicates quail egg or generic egg."
P0,human_llm_disagreement,11388,image000449,test,allergen_restrictions,DROP,KEEP,medium,allergen_taxonomy_mismatch;pass_disagreement;question_answer_mismatch;unsupported_triple,"P1: Question matches the clam porridge image and B is the safest answer because the main ingredient is shellfish/clam, though the wording says crustacean while clam is mollusk. | P2: Triple 1 supports the dish, but triple 2 uses the wrong allergen category: trai is mollusk/shellfish rather than crustacean. | P3: Reject: the row depends on treating trai as giáp xác, but trai is a mollusk/shellfish, so the allergy premise and supporting triple are taxonomically wrong."
P0,human_llm_disagreement,11676,image000797,test,allergen_restrictions,DROP,KEEP,medium,insufficient_visual_evidence;non_visual_food_safety_claim;pathogen_as_allergen;qtype_mismatch;unsupported_ingredient;weak_visual_reasoning,"P1: Question identifies the item below the broth bowl correctly as nem rán, but the allergen_restrictions qtype does not match the food-safety/bacterial-risk wording. | P2: Nem rán is the correct located item, but the support triples rely on an unverified egg ingredient and mislabel Salmonella as an allergen. | P3: Choice D is visually identifiable, but the supporting triples are unsupported and misuse Salmonella as an allergen, so the row should not be silently accepted."
